id,nome,descricao,preco,imagem
1,"Substrato BioFértil 3 Anos","Com um processo de maturação de 3 anos, nosso substrato é uma terra viva e completa, rica em matéria orgânica e microrganismos benéficos.",40.00,imagens/produtos/1/1.png
2,"FertiGota","Nosso fertilizante líquido é produzido através de um processo de biodigestor anaeróbico, transformando dejetos de galinha em um adubo rico em nutrientes e de fácil absorção pelas plantas.",25.00,imagens/produtos/2/1.png
3,"Ovos Caipira 10","Ovos caipira selecionados, direto da granja para sua mesa. Embalagem com 10 unidades.",18.00,imagens/produtos/3/1.jpeg
4,"Ovos Caipira 20","Ovos caipira selecionados, direto da granja para sua mesa. Embalagem com 20 unidades.",30.00,imagens/produtos/4/1.jpeg
5,"Ovos Caipira 30","Ovos caipira selecionados, direto da granja para sua mesa. Embalagem com 30 unidades.",45.00,imagens/produtos/5/1.png
6,"Galinha Caipira Picada","Galinha caipira picada, sabor autêntico da roça. Ideal para receitas tradicionais.",60.00,imagens/produtos/6/1.png
7,"Galinha Caipira Inteira","Galinha caipira inteira, criada solta e alimentada naturalmente. Perfeita para assados e cozidos.",110.00,imagens/produtos/7/1.png
